号	地点 記号	掲載地点名	緯度 （北緯）	経度 （東経）	MSL- 潮位表 基準面 （cm）	MSLの 標高 （cm）	潮位表 基準面 の標高 （cm）	主要4分潮								分潮一覧表	備考
1	WN	稚内	45゜24'	141゜41'	18	16.2	-1.8	2.18	109.78	1.93	141.52	6.41	17.95	6.23	351.89	2024年	
2	KE	枝幸	44゜56'	142゜35'	57	-	-	16.83	85.95	7.96	130.1	17.34	172.72	16.54	152.17	-	
3	A0	紋別	44゜21'	143゜22'	71	-	-	17.43	88.58	8.08	132.29	21.36	183	21.01	160.48	-	
4	AS	網走	44゜01'	144゜17'	68	-1.3	-69.3	16.99	90.77	7.82	134.83	21.24	197.59	21.9	176.24	2024年	
5	A6	羅臼	44゜01'	145゜12'	64	-	-	17.26	94.28	7.74	138.38	19.75	197.41	19.96	176.77	-	
6	NM	根室	43゜21'	145゜35'	87	-	-	30.29	104.3	13.93	148.86	23.58	171.31	18.27	144.99	-	
7	HN	花咲	43゜17'	145゜34'	86	4.5	-81.5	28.72	105.14	12.98	146.89	21.53	172.96	22.82	159.43	2024年	
8	KP	霧多布	43゜05'	145゜07'	81	-	-	28.75	105.09	13.18	146.42	20.97	162.77	17.65	162.9	-	
9	KR	釧路	42゜59'	144゜22'	87	-2.6	-89.6	29.28	105.71	13.49	145.5	25.89	166.93	18.89	139.7	2024年	
10	B1	十勝	42゜18'	143゜19'	85	-	-	29.4	104.45	13.58	143.89	22.61	162.65	19.02	155.22	-	
11	A9	浦河	42゜10'	142゜46'	93	-	-	30.34	106.77	14.17	145.5	23.55	168.08	19.44	149.07	-	
12	C8	苫小牧東	42゜36'	141゜49'	88	-	-	31.04	105.69	14.51	143.96	23.37	165.6	18.37	149.25	-	
13	TM	苫小牧西	42゜38'	141゜37'	88	-	-	31.16	104.99	14.55	143.28	23.43	165.54	18.46	148.84	-	
14	SO	白老	42゜31'	141゜19'	88	-	-	31.04	104.5	14.48	142.78	23.21	165.58	18.65	148.72	-	
15	A8	室蘭	42゜21'	140゜57'	95	-	-	33.54	104.99	15.67	143.42	23.61	165.53	19.03	149.17	-	
16	A3	森	42゜07'	140゜36'	92	-	-	33.89	104.62	15.74	143.2	23.61	165.45	18.98	148.94	-	
17	HK	函館	41゜47'	140゜43'	57	-15.6	-72.6	21.53	109.12	9.91	146.44	12.93	175.15	10.19	159.94	2024年	
18	Q0	吉岡	41゜27'	140゜14'	45	-	-	14.69	128.48	6.68	164.6	10.83	210.21	9.4	195.87	-	
19	A5	松前	41゜25'	140゜06'	23	-	-	8.06	121.46	3.46	158.05	5.47	267.44	5.35	254.12	-	
20	ES	江差	41゜52'	140゜08'	24	-	-	5.42	104.29	2.26	139.41	6.32	20.04	6.87	348.03	-	
21	ZP	奥尻	42゜05'	139゜29'	19	23.3	4.3	5.2	107.06	2.22	139.59	4.93	340.35	4.54	320.18	-	
22	OR	奥尻港	42゜10'	139゜31'	20	-	-	5.11	105.74	2.16	139.42	4.42	344.72	4.45	326.86	-	
23	SE	瀬棚	42゜27'	139゜51'	20	-	-	4.86	110.16	2.14	142.68	6.33	342.32	5.8	313.22	-	
24	B6	寿都	42゜48'	140゜14'	17	-	-	4.4	116.1	2.2	150.3	4.2	347	3.9	334.5	-	
25	B5	岩内	42゜59'	140゜31'	18	-	-	4.67	114.08	2.15	148.1	4.98	348.41	4.8	327.2	-	
26	Z8	忍路	43゜13'	140゜52'	17	8.5	-8.5	4.59	119.67	2.13	150.72	5.3	349.02	5.32	326.39	-	
27	B3	小樽	43゜12'	141゜00'	16	14	-2	4.67	120.19	2.23	152.06	5.24	348.58	5.32	326.54	2024年	
28	IK	石狩新港	43゜13'	141゜18'	18	-	-	4.63	121.99	2.25	151.37	5.27	350.18	5.32	326.62	-	
29	B2	留萌	43゜57'	141゜38'	16	-	-	4.6	129.38	2.19	158.62	5.29	348.11	5.23	325.55	-	
30	F3	沓形	45゜11'	141゜08'	18	-	-	3.73	147.4	1.96	166.84	5.52	352.81	5.39	330.12	-	
31	Q1	竜飛	41゜15'	140゜23'	33	10.3	-22.7	12.98	113.15	6.05	149.66	6.09	191.07	4.97	177.86	-	
32	AO	青森	40゜50'	140゜46'	37	-	-	18.47	102.66	8.52	139.9	5.53	155.37	3.68	142.37	-	
33	ZA	浅虫	40゜54'	140゜52'	37	13.6	-23.4	18.34	102.94	8.48	139.95	5.45	156.46	3.64	143.25	-	
34	Q2	大湊	41゜15'	141゜09'	41	-	-	19.79	105.63	9.17	143.42	5.74	161.14	3.87	148.53	-	
35	B4	大間	41゜32'	140゜54'	46	-	-	20.23	106.65	9.41	144.31	9.73	157.08	7.2	141.6	-	
36	SH	下北	41゜22'	141゜14'	80	2.4	-77.6	28.6	103.36	13.27	142.29	19.77	156.26	15.1	138.93	2024年	
37	XS	むつ小川原	40゜56'	141゜23'	85	-	-	30.23	103.82	13.92	142.23	22.38	164.75	18.17	148.9	-	
38	HG	八戸港	40゜32'	141゜33'	85	-	-	30.49	104.34	14.08	142.72	22.27	162.95	17.74	147.4	-	
39	XT	久慈	40゜12'	141゜48'	89	-	-	30.26	105.56	13.91	143.67	23.39	163.2	18.57	146.03	-	
40	MY	宮古	39゜39'	141゜59'	83	-3.5	-86.5	30.12	107.99	13.98	145.41	23.78	166.66	19.48	149.2	2024年	
41	Q6	釜石	39゜16'	141゜53'	86	-9.4	-95.4	30.21	110.47	13.98	147.3	23.12	167.72	18.72	151.82	-	＊１
42	OF	大船渡	39゜01'	141゜45'	88	-15.5	-103.5	30.45	110.64	14.13	147.03	23.45	166.59	18.6	150.04	2024年	＊１
43	AY	鮎川	38゜18'	141゜30'	88	-27.2	-115.2	31.59	114.16	14.71	149.35	24.02	169.14	19.36	152.31	2024年	＊１
44	E6	石巻	38゜24'	141゜16'	90	-	-	32.92	114.57	15.37	149.44	24.26	169.43	19.54	152.87	-	
45	SG	塩釜	38゜19'	141゜02'	92	-	-	34.72	117.82	15.82	152.91	24.73	170.41	19.5	153.96	-	
46	SD	仙台新港	38゜16'	141゜00'	93	-	-	33.12	115.16	15.42	149.9	24.3	169.55	19.51	153.21	-	
47	ZM	相馬	37゜50'	140゜58'	88	-12.1	-100.1	32.84	117.06	15.3	151.79	24.38	171.01	19.49	154.4	-	
48	ON	小名浜	36゜56'	140゜54'	84	-13.2	-97.2	30.31	123.02	14.34	155.7	21.8	173.37	17.24	156.48	2024年	
49	D1	日立	36゜30'	140゜38'	86	-	-	30.94	122.3	14.62	155.15	22.42	169.65	17.45	152.31	-	
50	D3	大洗	36゜18'	140゜34'	87	-	-	30.16	123.91	14.47	156.92	22.89	169.73	17.66	151.54	-	
51	D2	鹿島	35゜56'	140゜42'	89	-	-	30.6	125.62	14.57	158.33	23.93	172.36	18.9	152.53	-	
52	CS	銚子漁港	35゜45'	140゜52'	90	-	-	30.35	127.56	14.44	160.32	23.36	174.6	18.93	155.41	-	＊２
53	ZF	勝浦	35゜08'	140゜15'	90	-5.3	-95.3	36.09	140.79	16.51	169.92	22.41	176.94	17.4	158.56	-	
54	MR	布良	34゜55'	139゜50'	90	8.8	-81.2	35.61	140.1	16.96	169.29	23.2	176.45	18.12	157.43	2024年	
55	TT	館山	34゜59'	139゜51'	100	-	-	37.3	147.6	17.2	174	24.2	177.7	16.9	157.3	-	
56	KZ	木更津	35゜22'	139゜55'	115	-	-	44.1	150.7	21.5	179.3	24.4	177.6	19	159.8	-	
57	QL	千葉	35゜34'	140゜03'	120	7	-113	47.79	152.42	23.73	180.34	25.09	178.31	19.66	159.82	-	
58	CB	千葉港	35゜36'	140゜06'	120	-	-	47.94	153.19	23.64	181.17	25.18	179.15	19.68	160.59	-	
59	TK	東京	35゜39'	139゜46'	120	4.6	-115.4	47.73	153.73	23.64	181.77	25.07	178.91	19.57	160.28	2024年	
60	KW	川崎	35゜31'	139゜45'	115	-	-	45.3	152.86	22.35	181.29	24.86	179.19	19.7	160.21	-	
61	YK	京浜港	35゜28'	139゜38'	115	-	-	43.89	152.75	21.63	180.71	24.52	178.48	19.23	159.91	-	
62	QS	横浜	35゜27'	139゜39'	115	3.9	-111.1	44.02	152.41	21.71	180.49	24.49	178.37	19.21	159.85	-	
